ticker,asset
EFA_EZU_EEM_EWJ,STOCK
IWR_IWS,STOCK
IWP_SPY_XLK,STOCK
VWEHX_IYR,STOCK
XLP_DIA_XLY,STOCK
IBB_XLV,STOCK
IEF_VFITX_VFIIX,BOND
VUSTX_TLT,BOND
GLD_VWSTX,CASH
VWAHX_VWLTX,BOND
VWESX_LQD,BOND
EFA,STOCK
EZU,STOCK
EWJ,STOCK
IEF,BOND
IWS,STOCK
XLE,STOCK
VWSTX,CASH
IWR,STOCK
IWP,STOCK
VWEHX,STOCK
XLP,STOCK
VWAHX,BOND
VFIIX,BOND
IBB,STOCK
VWLTX,BOND
XLV,STOCK
VUSTX,BOND
LQD,BOND
VWESX,BOND
IYR,STOCK
TLT,BOND
XLY,STOCK
DIA,STOCK
XLK,STOCK
SPY,STOCK
VFITX,BOND
EST_GLD,GOLD
EST_EEM,STOCK